Kicker Name,WORLD CUP DETAILS,Year,Location,GAME DETAILS,Attendance,Weather,League round,Time of day,KEEPER DETAILS,Keeper,Keeper height (m),PLAYER DETAILS,Club,Nationality,Captain,Number,Age,Role,Position,Dominant foot,Player height (m),Player weight (kg),PLAYER IN-GAME STATS,Minutes played,Goals scored,Yellow card (y/n),Team red card (y/n),SHOOTOUT FACTS,Kick #,Game On Line (y/n),Deficit/Lead (SO),Direction,Result,Keeper Play,Post (y/n),FOR LATER PROJECT,GOLDEN BALL?,Home/Away,Lead/Deficit,FIFA pk rating,PES pk rating,Games missed ,UCL experience
Trezeguet,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Pagliuca,1.9,,Monaco,France,no,20,20,F,ST,Right,1.86,78,,55,0,no,no,,5,no,1-1, Bottom Left,Goal,Right,no,,,,,,,,
Costacurta,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Barthez,1.8,,AC Milan,Italy,no,5,32,D,CB,Right,1.82,75,,120,0,YES,no,,6,no,1-2,Top Left,Goal,Left,no,,,,,,,,
Henry,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Pagliuca,1.9,,Monaco,France,no,12,20,F,ST,Right,1.88,83,,55,0,no,no,,7,no,2-2,Top Right,Goal,Right,no,,,,,,,,
Vieri,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Barthez,1.8,,Atletico Madrid,Italy,no,21,24,F,ST,Left,1.85,82,,120,0,no,no,,8,no,2-3,Top Right,Goal,Right,no,,,,,,,,
Blanc,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Pagliuca,1.9,,Marseille,France,no,5,32,M,CDM,Right,1.9,82,,120,0,no,no,,9,no,3-3, Top Right,Goal,Right,no,,,,,,,,
Di Baggio,,1998,France,,77000,N/A,Quarter Finals,4:30 PM,,Barthez,1.8,,Roma,Italy,no,14,27,M,CDM,Right,1.75,74,,120,0,no,no,,10,YES,3-4,Top Right,Miss,Right,YES,,,,,,,,
RONALDO,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Van der Sar,1.97,,Inter,Brazil,no,9,21,F,ST,Right,1.83,90,,120,1,no,no,,1,no,0-0,Top Left,Goal,Right,no,,Gold,,,,,,
F. de Boer,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Taffarel,1.83,,Ajax,Netherlands,YES,4,28,D,CB,Left,1.79,75,,120,0,no,no,,2,no,0-1,Top Left,Goal,Left,no,,,,,,,,
Rivaldo,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Van der Sar,1.97,,Barcelona,Brazil,no,10,26,M,CAM,Left,1.86,75,,120,0,no,no,,3,no,1-1,Top Right,Goal,Left,no,,,,,,,,
Bergkamp,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Taffarel,1.83,,Arsenal,Netherlands,no,8,29,F,ST,Right,1.83,78,,120,0,no,no,,4,no,1-2,Bottom Right,Goal,RIght,no,,,,,,,,
Emerson,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Van der Sar,1.97,,Bayer 04,Brazil,no,11,22,M,CDM,Right,1.79,74,,120,0,no,no,,5,no,2-2,Middle,Goal,Left,no,,,,,,,,
Cocu,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Taffarel,1.83,,PSV,Netherlands,no,11,27,M,CM,Left,1.82,74,,120,0,no,no,,6,no,2-3,Bottom Right,Saved,Right,no,,,,,,,,
Dunga,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Van der Sar,1.97,,Jubilo Iwata,Brazil,YES,8,34,M,CDM,Right,1.77,75,,120,0,no,no,,7,no,3-2,Top Left,Goal,Left,no,,,,,,,,
R. de Boer,,1998,France,,54000,N/A,Semi Finals,9:00 PM,,Taffarel,1.83,,Ajax,Netherlands,no,7,28,M,CAM,Right,1.8,77,,120,0,no,no,,8,YES,3-3,Bottom Left,Saved,Left,no,,,,,,,,
